CityCode,CityEn,CityJp,CountryCode
0001,Tokyo,東京,JP
0002,Sydney,シドニー,AU
0003,Oymyakon,オイミヤコン,RU
0101,Kushiro,釧路,JP
0102,Nemuro,根室,JP
0103,Wakkanai,稚内,JP
0104,Abashiri,網走,JP
0105,Obihiro,帯広,JP
0106,Asahikawa,旭川,JP
0107,Sapporo,札幌,JP
0201,Aomori,青森,JP
0202,Morioka,盛岡,JP
0203,Akita,秋田,JP
0204,Niigata,新潟,JP
0205,Kyoto,京都,JP
2001,Karuizawa,軽井沢,JP
2002,Sugadaira,菅平,JP
2101,Takayama,高山,JP
3002,Verkhoyansk,ベルホヤンスク,RU
3003,Norilsk,ノリリスク,RU
3004,Utqiagvik,ウットキアグビク（バロウ）,US
3005,Yellowknife,イエローナイフ,CA
3006,Nuuk,ヌーク,GL
3007,Longyearbyen,ロングイヤービーエン,SJ
3008,Ulaanbaatar,ウランバートル,MN
3009,Harbin,ハルビン,CN
3010,Tromso,トロムソ,NO
3101,Kusatsu,草津温泉,JP
3102,Minakami,水上温泉,JP
3103,Ikaho,伊香保温泉,JP
4001,Honolulu,ホノルル（ハワイ）,US
4002,KualaLumpur,クアラルンプール,MY
4003,Cairns,ケアンズ,AU
4004,Seoul,ソウル,KR
4005,RioDeJaneiro,リオデジャネイロ,BR
4006,Lima,リマ,PE
4007,Vancouver,バンクーバー,CA
